"id","des_jabatan"
"1","Kepala BPS"
"2","Kepala Seksi Tata Usaha"
"3","Kepala Seksi Statistik Sosial"
"4","Kepala Seksi Statistik Produksi"
"5","Kepala Seksi Statistik Distribusi"
"6","Kepala Seksi Neraca Wilayah dan Analisis Statistik"
"7","Kepala Seksi Integrasi Pengolahan dan Diseminasi Statistik"
"8","Staf Seksi Tata Usaha"
"9","Staf Seksi Statistik Sosial"
"10","Staf Seksi Statistik Produksi"
"11","Staf Seksi Statistik Distribusi"
"12","Staf Seksi Neraca Wilayah dan Analisis Statistik"
"13","Staf Seksi Integrasi Pengolahan dan Diseminasi Statistik"
"14","KSK Kec.  P. Sembilan"
"15","KSK Kec. P. Laut Barat"
"17","KSK Kec. P. Laut Tanjung Selayar"
"18","KSK Kec. P. Laut Selatan"
"19","KSK Kec. P. Laut Kepulauan"
"20","KSK Kec. P. Laut Timur"
"21","KSK Kec. P. Sebuku"
"22","KSK Kec. P. Laut Utara"
"23","KSK Kec. P. Laut Tengah"
"24","KSK Kec. P. Kelumpang Selatan"
"25","KSK Kec. Kelumpang Hilir"
"26","KSK Kec. Kelumpang Hulu"
"27","KSK Kec. Hampang"
"28","KSK Kec. Sungai Durian"
"29","KSK Kec. Kelumpang Tengah"
"30","KSK Kec. Kelumpang Barat"
"31","KSK Kec. Kelumpang Utara"
"32","KSK Kec. Pamukan Selatan"
"33","KSK Kec. Sampanahan"
"34","KSK Kec. Pamukan Utara"
"35","KSK Kec. Pamukan Barat"
"36","Statistisi Pertama"
"37","Statistisi Muda"
"39","Statistisi Madya"
"40","Statistisi Pelaksana Lanjutan"
"42","Statistisi Pelaksana"
